Timestamp,What is your current country of residence?,What is your age?,What is your gender?,What is the highest level of education you have completed?,"On a scale of 1 to 5, how comfortable do you feel using a computer?","At what age did you first start using a computer? If you do not remember exactly, you may fill in an approximation.","If you have completed a middle school education, did you follow an IT-related class and/or course (not necessarily a programming one) during this time?","In your study career, have you followed or are you following a *course* directly related to computer programming?",What was your primary motivation for following this programming-related course?,"On a scale of 1 to 5, how intimidating do/did you find your programming-related course?","What was/is, in your opinion, the most challenging aspect of this course, either in terms of the curriculum, the study environment or others?","On a scale of 1 to 5, what is your opinion of the contents of the course you are following/have followed?",Please elaborate your answer.,What made you interested in following a programming-related course?,"On a scale of 1 to 5 - in terms of the difficulty of the curriculum, study environment and others, how intimidated are you by the prospect of following a programming-related course?",Please elaborate your answer.,Please elaborate why you did not decide to follow a programming-related course.,"If you answered you decided not to based on the experiences of a friend, family member or colleague, could you describe their experience (if you are willing to share that anonymously)?","On a scale of 1 to 5, what is the gender stereotype in your culture when it comes to computer engineering?","On a scale of 1 to 5 - to your knowledge, how prevalent is sexism which is biased against women in computer engineering?",Do you know any female friends or family members who are *currently* studying programming or working in a programming role?,"Do you know any female friends or family members who *have* studied programming or worked in a programming role in the past, but are not currently doing so?"," If you answered yes to any of the previous two questions, please write down any experiences surrounding their study/work that you can remember (and are willing to share anonymously).",Are you *currently* employed in a programming-oriented role in the IT field?,"On a scale of 1 to 5, how satisfied are you with your current job?","If you answered with 1 or 2, what is the reason behind your dissatisfaction with your current job?","On a scale of 1 to 5, how hard was it for you to land your current job?","If you answered with 4 or 5, what was the reason behind your difficulty in landing your current job?"
4/3/2020 17:31:43,Netherlands,22,Male,College degree,5,6 to 13 years old,No,"Yes, I am currently following a course",General interest in computers,2,Getting used to the different way of thinking,3,"I feel like IT education is definitely behind and could be better. On the other hand, for most people and purposes it will be good enough.",,,,,,5,3,Yes,No,,"No, but I have been before",,,,
4/6/2020 10:43:23,Netherlands,20,Female,Middle/High school,3,6 to 13 years old,No,"Yes, I have followed a course",It was part of mu study. It was een vak on school,1,It takes long time,4,It was good,,,,,,4,3,No,Yes,A friend of mine studied Ict but she stopped in the first year.,"No, and I have no plans to be",,,,
4/6/2020 11:15:27,The Netherlands,20,Female,Middle/High school,4,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,4,3,No,No,,"No, and I have no plans to be",,,,
4/6/2020 13:03:36,Netherlands,19,Female,Middle/High school,5,6 to 13 years old,Yes,"Yes, I have followed a course",It was a mandatory part of the curriculum,3,The logical steps,3,It was practical but some topics weren't interesting to me,,,,,,4,2,Yes,No,They work for IT firms abroad and are doing well,"No, and I have no plans to be",,,,
4/6/2020 18:52:52,The Netherlands,20,Female,Middle/High school,4,6 to 13 years old,No,"No, and I have never strongly considered the option",,,,,,,,,,,4,4,No,No,,"No, and I have no plans to be",,,,
4/7/2020 21:16:17,USA,29,Male,College degree,5,6 to 13 years old,No,"Yes, I have followed a course",Good career prospects,3,It was just difficult. ,3,My computer science degree was challenging and interesting but of little relevance to a software developer professionally,,,,,,5,1,No,No,,Yes,5,,1,
4/7/2020 21:44:24,USA,41,Female,Post graduate degree,5,14 to 21 years old,No,"No, but I am considering doing so",,,,,,"I am a self-taught programmer, but didn't do this at university",1,I currently work as a programmer so taking a class would be fun.,,,5,4,Yes,Yes,,Yes,4,,3,
4/7/2020 21:54:13,US,26,Male,College degree,3,6 to 13 years old,No,"Yes, I have followed a course","A friend, family member or colleague encouraged me to",5,"I took what was allegedly and Introduction to Computer Programming in Python course, but I found it insufficiently *introductory*. The lessons were difficult to follow, and the assignments were astonishingly difficult. I felt the professors were assuming too much existing knowledge on the part of the students.",2,I did not retain any knowledge from that course. The course was far too difficult for me to learn anything.,,,,,,5,4,Yes,No,A female relative of mine is currently studying computer science. She has had bad experiences being assigned to complete projects with disrespectful male colleagues who don't take her seriously and discount the work she put in to the project - all while taking credit for the project themselves.,"No, and I have no plans to be",,,,
4/7/2020 22:03:24,United States,18,Female,Middle/High school,5,6 to 13 years old,Yes,"Yes, I have followed a course",General interest in computers,2,Teacher didn't teach to the test very well,4,Mostly self-directed but I think I did a lot,,,,,,5,4,No,No,,"No, and I have no plans to be",,,,
4/7/2020 22:09:36,Canada,19,Nonbinary,University degree,4,6 to 13 years old,Yes,"Yes, I have followed a course","A friend, family member or colleague encouraged me to",3,"The atmosphere - I'm generally perceived as a woman, while all the CS departments I've seen have been heavily male, and very intimidating to enter, especially when it came to group projects and the like. ",4,"The contents of the course were fine! With enough muster things were achievable, although at some points I found myself disagreeing with grading specifics (eg grading low for not completing *style* guidelines that were never requested in the project outline).",,,,,,5,4,No,No,,"No, and I have no plans to be",,,,
